zcta,name,city,county,state,median_hh_income,median_age,total_households,total_pop,male_pop,pop_25plus,bachelors,masters,professional,doctorate
00601,ZCTA5 00601,Adjuntas,Adjuntas,PR,17526,44.0,5341,16834,8337,12295,1773,237,23,23
00602,ZCTA5 00602,Aguada,Aguada,PR,20260,45.2,12777,37642,18405,28321,4767,1181,69,109
00603,ZCTA5 00603,Aguadilla,Aguadilla,PR,17703,45.0,19624,49075,23813,36307,6001,2132,414,337
00606,ZCTA5 00606,Maricao,Maricao,PR,19603,46.2,1948,5590,2723,4118,287,129,0,0
00610,ZCTA5 00610,Anasco,Anasco,PR,22796,44.4,8781,25542,12317,19085,3199,846,151,17
00611,ZCTA5 00611,Angeles,Utuado,PR,22525,48.1,523,1315,667,1019,179,39,0,18
00612,ZCTA5 00612,Arecibo,Arecibo,PR,22305,44.4,23286,63312,29745,46409,9930,2232,297,617
00616,ZCTA5 00616,Bajadero,Arecibo,PR,23652,46.7,3150,9625,4515,7396,1329,187,24,53
00617,ZCTA5 00617,Barceloneta,Barceloneta,PR,20328,42.6,8234,22573,10709,16397,2960,796,0,52
00622,ZCTA5 00622,Boqueron,Cabo Rojo,PR,22818,50.2,2996,7577,3334,6112,956,361,10,59
00623,ZCTA5 00623,Cabo Rojo,Cabo Rojo,PR,23132,45.4,14572,39406,18869,29115,6425,1268,276,535
00624,ZCTA5 00624,Penuelas,Penuelas,PR,20101,40.1,7344,21648,10612,15095,3202,425,33,54
00627,ZCTA5 00627,Camuy,Camuy,PR,23263,44.5,11585,32733,15525,24290,3630,1141,53,353
00631,ZCTA5 00631,Castaner,Lares,PR,15658,42.1,480,1431,616,1100,273,59,0,0
00636,ZCTA5 00636,Rosario,San German,PR,-666666666,29.7,262,1057,576,577,102,23,0,21
00637,ZCTA5 00637,Sabana Grande,Sabana Grande,PR,20568,45.1,7265,22882,10634,16145,3310,615,85,81
00638,ZCTA5 00638,Ciales,Ciales,PR,19796,45.6,5814,17605,8553,13117,1663,238,31,83
00641,ZCTA5 00641,Utuado,Utuado,PR,17673,45.9,8854,24299,11497,17971,3093,607,134,52
00646,ZCTA5 00646,Dorado,Dorado,PR,31330,42.5,12006,35926,17389,25704,5841,1655,709,271
00647,ZCTA5 00647,Ensenada,Guanica,PR,17143,46.4,1844,4702,2285,3191,434,40,9,8
00650,ZCTA5 00650,Florida,Florida,PR,20363,41.1,5245,13767,6578,9756,1625,210,106,13
00652,ZCTA5 00652,Garrochales,Arecibo,PR,26148,44.5,1412,3924,1799,2947,672,153,0,0
00653,ZCTA5 00653,Guanica,Guanica,PR,13777,44.7,3627,8980,4460,6567,639,235,5,1
00656,ZCTA5 00656,Guayanilla,Guayanilla,PR,21456,44.9,6429,18121,8610,13307,2475,662,52,66
00659,ZCTA5 00659,Hatillo,Hatillo,PR,23899,44.7,13061,37066,17719,27842,5857,1793,213,345
00660,ZCTA5 00660,Hormigueros,Hormigueros,PR,22556,48.9,6084,15483,7162,11905,2671,622,106,47
00662,ZCTA5 00662,Isabela,Isabela,PR,20283,44.3,14067,40480,19481,30227,5882,1660,171,172
00664,ZCTA5 00664,Jayuya,Jayuya,PR,17966,41.9,5056,14967,7355,10589,1669,431,44,20
00667,ZCTA5 00667,Lajas,Lajas,PR,16889,47.4,8259,23370,11400,17674,2824,544,82,90
00669,ZCTA5 00669,Lares,Lares,PR,18838,44.5,9997,27529,13676,20357,2967,991,9,111
00670,ZCTA5 00670,Las Marias,Las Marias,PR,16644,44.0,2702,8746,4297,6194,913,132,14,43
00674,ZCTA5 00674,Manati,Manati,PR,20088,44.0,14691,39385,18322,28883,5110,1274,246,205
00676,ZCTA5 00676,Moca,Moca,PR,20160,42.2,12956,36683,17935,26407,4663,1130,163,235
00677,ZCTA5 00677,Rincon,Rincon,PR,26404,48.7,5741,15304,7080,11840,2152,436,31,152
00678,ZCTA5 00678,Quebradillas,Quebradillas,PR,19558,44.4,9059,25039,12401,18679,2815,783,14,169
00680,ZCTA5 00680,Mayaguez,Mayaguez,PR,16535,45.6,17577,43173,20875,30792,5398,1426,283,482
00682,ZCTA5 00682,Mayaguez,Mayaguez,PR,17385,38.0,12077,30414,14278,19482,3724,1213,446,628
00683,ZCTA5 00683,San German,San German,PR,18132,46.9,10904,29547,14266,21913,3813,822,160,349
00685,ZCTA5 00685,San Sebastian,San Sebastian,PR,17481,45.7,14312,40346,19505,29680,4720,1141,78,236
00687,ZCTA5 00687,Morovis,Morovis,PR,22282,41.5,9810,28659,14190,20557,2995,657,41,154
00688,ZCTA5 00688,Sabana Hoyos,Arecibo,PR,17273,42.5,3950,11478,5948,8499,1417,173,28,59
00690,ZCTA5 00690,San Antonio,Aguadilla,PR,23343,36.6,2063,5781,2785,3910,860,172,31,16
00692,ZCTA5 00692,Vega Alta,Vega Alta,PR,25289,41.4,11968,33302,15999,23934,3764,1379,79,405
00693,ZCTA5 00693,Vega Baja,Vega Baja,PR,23791,43.9,20435,55570,26566,40596,7751,1851,299,171
